Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR
Supiori,Papua,Daging ayam ras,2021,0.06,2227
Mamberamo Raya,Papua,Daging ayam ras,2021,0.025,989.25
Kota Jayapura,Papua,Daging ayam ras,2021,0.195,7539.68
Merauke,Papua,Daging ayam ras,2021,0.102,4310.87
Boven Digoel,Papua,Daging ayam ras,2021,0.092,3436.65
Mappi,Papua,Daging ayam ras,2021,0.013,903.8
Asmat,Papua,Daging ayam ras,2021,0.04,2740.16
Mimika,Papua,Daging ayam ras,2021,0.171,6017.5
Dogiyai,Papua,Daging ayam ras,2021,0.124,4955.77
Deiyai,Papua,Daging ayam ras,2021,0.337,9548.83
Nabire,Papua,Daging ayam ras,2021,0.16,6891.49
Paniai,Papua,Daging ayam ras,2021,0.148,4149.81
Intan Jaya,Papua,Daging ayam ras,2021,0.34,17703.82
Puncak,Papua,Daging ayam ras,2021,0.064,5116.82
Puncak Jaya,Papua,Daging ayam ras,2021,0.255,24023.36
Nduga,Papua,Daging ayam ras,2021,0.037,6127
Jayawijaya,Papua,Daging ayam ras,2021,0.122,7333.37
Lanny Jaya,Papua,Daging ayam ras,2021,0.044,4921.31
Tolikara,Papua,Daging ayam ras,2021,0.128,5262.11
Mamberamo Tengah,Papua,Daging ayam ras,2021,0.004,279.21
Yalimo,Papua,Daging ayam ras,2021,0.035,2814.12
Yahukimo,Papua,Daging ayam ras,2021,0.013,738.64
Pegunungan Bintang,Papua,Daging ayam ras,2021,0.043,2346.94
Simeulue,Aceh,Daging ayam kampung,2021,0.015,908.19
Aceh Singkil,Aceh,Daging ayam kampung,2021,0.013,678.32
Aceh Selatan,Aceh,Daging ayam kampung,2021,0.013,615.37
Aceh Tenggara,Aceh,Daging ayam kampung,2021,0.016,885.76
Aceh Timur,Aceh,Daging ayam kampung,2021,0.015,574.93
Aceh Tengah,Aceh,Daging ayam kampung,2021,0.022,842.46
Aceh Barat,Aceh,Daging ayam kampung,2021,0.035,1808.79
Aceh Besar,Aceh,Daging ayam kampung,2021,0.024,1333.03
Pidie,Aceh,Daging ayam kampung,2021,0.014,509.41
Bireuen,Aceh,Daging ayam kampung,2021,0.033,1268.66
Aceh Utara,Aceh,Daging ayam kampung,2021,0.015,519.24
Aceh Barat Daya,Aceh,Daging ayam kampung,2021,0.01,508.1
Gayo Lues,Aceh,Daging ayam kampung,2021,0.082,4057.91
Aceh Tamiang,Aceh,Daging ayam kampung,2021,0.011,402.96
Nagan Raya,Aceh,Daging ayam kampung,2021,0.048,2340.55
Aceh Jaya,Aceh,Daging ayam kampung,2021,0.029,1322.19
Bener Meriah,Aceh,Daging ayam kampung,2021,0.024,1140.01
Pidie Jaya,Aceh,Daging ayam kampung,2021,0.04,1161.54
Kota Banda Aceh,Aceh,Daging ayam kampung,2021,0.018,1011.88
Kota Sabang,Aceh,Daging ayam kampung,2021,0.008,428.24
Kota Langsa,Aceh,Daging ayam kampung,2021,0.004,185.7
Kota Lhokseumawe,Aceh,Daging ayam kampung,2021,0.018,836.34
Kota Subulussalam,Aceh,Daging ayam kampung,2021,0.008,366.97
Nias,Sumatera Utara,Daging ayam kampung,2021,0.038,1712.66
Mandailing Natal,Sumatera Utara,Daging ayam kampung,2021,0.011,510.15
Tapanuli Selatan,Sumatera Utara,Daging ayam kampung,2021,0.008,429.02
Tapanuli Tengah,Sumatera Utara,Daging ayam kampung,2021,0.014,522.08
Tapanuli Utara,Sumatera Utara,Daging ayam kampung,2021,0.02,1058.36
Toba Samosir,Sumatera Utara,Daging ayam kampung,2021,0.053,3335.75
Labuhan Batu,Sumatera Utara,Daging ayam kampung,2021,0.011,489.71
Asahan,Sumatera Utara,Daging ayam kampung,2021,0.025,1053.72
Simalungun,Sumatera Utara,Daging ayam kampung,2021,0.026,1314.33
Dairi,Sumatera Utara,Daging ayam kampung,2021,0.04,2473.7
Karo,Sumatera Utara,Daging ayam kampung,2021,0.043,2785.6
Deli Serdang,Sumatera Utara,Daging ayam kampung,2021,0.011,536.78
Langkat,Sumatera Utara,Daging ayam kampung,2021,0.02,832.31
Nias Selatan,Sumatera Utara,Daging ayam kampung,2021,0.034,1596.43
Humbang Hasundutan,Sumatera Utara,Daging ayam kampung,2021,0.023,1452.34
Pakpak Bharat,Sumatera Utara,Daging ayam kampung,2021,0.024,1468.85
Samosir,Sumatera Utara,Daging ayam kampung,2021,0.035,2309.25
Serdang Bedagai,Sumatera Utara,Daging ayam kampung,2021,0.018,799.56
Batu Bara,Sumatera Utara,Daging ayam kampung,2021,0.01,377.43
Padang Lawas Utara,Sumatera Utara,Daging ayam kampung,2021,0.012,541.76
Padang Lawas,Sumatera Utara,Daging ayam kampung,2021,0.014,623.13
Labuhan Batu Selatan,Sumatera Utara,Daging ayam kampung,2021,0.025,1244.62
Labuhan Batu Utara,Sumatera Utara,Daging ayam kampung,2021,0.034,1484.38
Nias Utara,Sumatera Utara,Daging ayam kampung,2021,0.017,745.83
Nias Barat,Sumatera Utara,Daging ayam kampung,2021,0.026,1181.73
Kota Sibolga,Sumatera Utara,Daging ayam kampung,2021,0.004,174.92
Kota Tanjung Balai,Sumatera Utara,Daging ayam kampung,2021,0.004,199.75
Kota Pematang Siantar,Sumatera Utara,Daging ayam kampung,2021,0.029,1608.84
Kota Tebing Tinggi,Sumatera Utara,Daging ayam kampung,2021,0.023,961.39
Kota Medan,Sumatera Utara,Daging ayam kampung,2021,0.008,479.85
Kota Binjai,Sumatera Utara,Daging ayam kampung,2021,0.012,647.15
Kota Padangsidimpuan,Sumatera Utara,Daging ayam kampung,2021,0.012,685.49
Kota Gunungsitoli,Sumatera Utara,Daging ayam kampung,2021,0.027,1297.07
Kepulauan Mentawai,Sumatera Barat,Daging ayam kampung,2021,0.041,2319.65
Pesisir Selatan,Sumatera Barat,Daging ayam kampung,2021,0.017,589
Solok,Sumatera Barat,Daging ayam kampung,2021,0.015,512.13
Sijunjung,Sumatera Barat,Daging ayam kampung,2021,0.018,791.26
Tanah Datar,Sumatera Barat,Daging ayam kampung,2021,0.012,417.27
Padang Pariaman,Sumatera Barat,Daging ayam kampung,2021,0.015,435.04
Agam,Sumatera Barat,Daging ayam kampung,2021,0.013,483.69
Lima Puluh Kota,Sumatera Barat,Daging ayam kampung,2021,0.013,364.48
Pasaman,Sumatera Barat,Daging ayam kampung,2021,0.025,804.49
Solok Selatan,Sumatera Barat,Daging ayam kampung,2021,0.023,929.21
Dharmasraya,Sumatera Barat,Daging ayam kampung,2021,0.035,1401.08
Pasaman Barat,Sumatera Barat,Daging ayam kampung,2021,0.017,562.54
Kota Padang,Sumatera Barat,Daging ayam kampung,2021,0.007,237.24
Kota Solok,Sumatera Barat,Daging ayam kampung,2021,0.003,123.86
Kota Sawah Lunto,Sumatera Barat,Daging ayam kampung,2021,0.019,1177.97
Kota Padang Panjang,Sumatera Barat,Daging ayam kampung,2021,0.003,90.51
Kota Bukittinggi,Sumatera Barat,Daging ayam kampung,2021,0.003,139.56
Kota Payakumbuh,Sumatera Barat,Daging ayam kampung,2021,0.006,255.09
Kota Pariaman,Sumatera Barat,Daging ayam kampung,2021,0.005,189.79
Kuantan Singingi,Riau,Daging ayam kampung,2021,0.024,1036.22
Indragiri Hulu,Riau,Daging ayam kampung,2021,0.02,839.74
Indragiri Hilir,Riau,Daging ayam kampung,2021,0.011,571.44
Pelalawan,Riau,Daging ayam kampung,2021,0.027,1382.39
Siak,Riau,Daging ayam kampung,2021,0.031,1159.84
Kampar,Riau,Daging ayam kampung,2021,0.026,1114.68
Rokan Hulu,Riau,Daging ayam kampung,2021,0.021,928.89
Bengkalis,Riau,Daging ayam kampung,2021,0.02,861.25
Rokan Hilir,Riau,Daging ayam kampung,2021,0.031,1243.51
Kepulauan Meranti,Riau,Daging ayam kampung,2021,0.008,333.31
Kota Pekanbaru,Riau,Daging ayam kampung,2021,0.007,307.15
Kota Dumai,Riau,Daging ayam kampung,2021,0.013,690.47
Kerinci,Jambi,Daging ayam kampung,2021,0.017,712.78
Merangin,Jambi,Daging ayam kampung,2021,0.021,1001.2
Sarolangun,Jambi,Daging ayam kampung,2021,0.018,877.74
Batang Hari,Jambi,Daging ayam kampung,2021,0.022,806.47
Muaro Jambi,Jambi,Daging ayam kampung,2021,0.033,1607.08
Tanjung Jabung Timur,Jambi,Daging ayam kampung,2021,0.031,1291.51
Tanjung Jabung Barat,Jambi,Daging ayam kampung,2021,0.023,982.15
Tebo,Jambi,Daging ayam kampung,2021,0.033,1191.11
Bungo,Jambi,Daging ayam kampung,2021,0.039,1776
Kota Jambi,Jambi,Daging ayam kampung,2021,0.009,402.77
Kota Sungai Penuh,Jambi,Daging ayam kampung,2021,0.013,674.98
Ogan Komering Ulu,Sumatera Selatan,Daging ayam kampung,2021,0.024,1025.55
Ogan Komering Ilir,Sumatera Selatan,Daging ayam kampung,2021,0.042,1602.69
Muara Enim,Sumatera Selatan,Daging ayam kampung,2021,0.01,393.29
Lahat,Sumatera Selatan,Daging ayam kampung,2021,0.012,402.88
Musi Rawas,Sumatera Selatan,Daging ayam kampung,2021,0.04,1697.77
Musi Banyuasin,Sumatera Selatan,Daging ayam kampung,2021,0.054,2186.1
Banyu Asin,Sumatera Selatan,Daging ayam kampung,2021,0.039,1467.73
Ogan Komering Ulu Selatan,Sumatera Selatan,Daging ayam kampung,2021,0.019,786.91
Ogan Komering Ulu Timur,Sumatera Selatan,Daging ayam kampung,2021,0.06,1990.17
Ogan Ilir,Sumatera Selatan,Daging ayam kampung,2021,0.007,259.76
Empat Lawang,Sumatera Selatan,Daging ayam kampung,2021,0.008,281.43
Penukal Abab Lematang Ilir,Sumatera Selatan,Daging ayam kampung,2021,0.005,149.92
Musi Rawas Utara,Sumatera Selatan,Daging ayam kampung,2021,0.034,1581.51
Kota Palembang,Sumatera Selatan,Daging ayam kampung,2021,0.007,357.22
Kota Prabumulih,Sumatera Selatan,Daging ayam kampung,2021,0.007,259.4
Kota Pagar Alam,Sumatera Selatan,Daging ayam kampung,2021,0.012,483.17
Kota Lubuklinggau,Sumatera Selatan,Daging ayam kampung,2021,0.019,838.56
Bengkulu Selatan,Bengkulu,Daging ayam kampung,2021,0.02,1388.57
Rejang Lebong,Bengkulu,Daging ayam kampung,2021,0.015,548.58
Bengkulu Utara,Bengkulu,Daging ayam kampung,2021,0.024,1074.78
Kaur,Bengkulu,Daging ayam kampung,2021,0.016,885.61
Seluma,Bengkulu,Daging ayam kampung,2021,0.017,860.77
Mukomuko,Bengkulu,Daging ayam kampung,2021,0.04,1884.06
Lebong,Bengkulu,Daging ayam kampung,2021,0.018,799.98
Kepahiang,Bengkulu,Daging ayam kampung,2021,0.01,431.28
Bengkulu Tengah,Bengkulu,Daging ayam kampung,2021,0.013,556.97
Kota Bengkulu,Bengkulu,Daging ayam kampung,2021,0.018,974.65
Lampung Barat,Lampung,Daging ayam kampung,2021,0.036,2057.01
Tanggamus,Lampung,Daging ayam kampung,2021,0.021,816.82
Lampung Selatan,Lampung,Daging ayam kampung,2021,0.039,1503.58
Lampung Timur,Lampung,Daging ayam kampung,2021,0.07,2787.46
Lampung Tengah,Lampung,Daging ayam kampung,2021,0.052,1790.39
Lampung Utara,Lampung,Daging ayam kampung,2021,0.026,1020.21
Way Kanan,Lampung,Daging ayam kampung,2021,0.038,1595.9
Tulangbawang,Lampung,Daging ayam kampung,2021,0.038,1399.33
Pesawaran,Lampung,Daging ayam kampung,2021,0.045,1491.57
Pringsewu,Lampung,Daging ayam kampung,2021,0.036,1337.01
Mesuji,Lampung,Daging ayam kampung,2021,0.066,2426.02
Tulang Bawang Barat,Lampung,Daging ayam kampung,2021,0.023,994.17
Pesisir Barat,Lampung,Daging ayam kampung,2021,0.019,1010.14
Kota Bandar Lampung,Lampung,Daging ayam kampung,2021,0.016,1105.52
Kota Metro,Lampung,Daging ayam kampung,2021,0.047,2240.13
Bangka,Bangka Belitung,Daging ayam kampung,2021,0.023,1216.74
Belitung,Bangka Belitung,Daging ayam kampung,2021,0.015,685.59
Bangka Barat,Bangka Belitung,Daging ayam kampung,2021,0.009,443.69
Bangka Tengah,Bangka Belitung,Daging ayam kampung,2021,0.012,600.86
Bangka Selatan,Bangka Belitung,Daging ayam kampung,2021,0.009,417.91
Belitung Timur,Bangka Belitung,Daging ayam kampung,2021,0.006,273.97
Kota Pangkal Pinang,Bangka Belitung,Daging ayam kampung,2021,0.012,784.73
Karimun,Kepulauan Riau,Daging ayam kampung,2021,0.01,534.33
Bintan,Kepulauan Riau,Daging ayam kampung,2021,0.011,448.38
Natuna,Kepulauan Riau,Daging ayam kampung,2021,0.007,314.68
Lingga,Kepulauan Riau,Daging ayam kampung,2021,0.014,658.71
Kepulauan Anambas,Kepulauan Riau,Daging ayam kampung,2021,0.005,281.15
Kota Batam,Kepulauan Riau,Daging ayam kampung,2021,0.012,773.73
Kota Tanjung Pinang,Kepulauan Riau,Daging ayam kampung,2021,0.003,181.81
Kep. Seribu,DKI Jakarta,Daging ayam kampung,2021,0.007,442.45
Kota Jakarta Selatan,DKI Jakarta,Daging ayam kampung,2021,0.004,238.75
Kota Jakarta Timur,DKI Jakarta,Daging ayam kampung,2021,0.008,549.16
Kota Jakarta Pusat,DKI Jakarta,Daging ayam kampung,2021,0.012,698.11
Kota Jakarta Barat,DKI Jakarta,Daging ayam kampung,2021,0.01,689.32
Kota Jakarta Utara,DKI Jakarta,Daging ayam kampung,2021,0.01,570.29
Bogor,Jawa Barat,Daging ayam kampung,2021,0.008,364.53
Sukabumi,Jawa Barat,Daging ayam kampung,2021,0.025,985.49
Cianjur,Jawa Barat,Daging ayam kampung,2021,0.031,1170.53
Bandung,Jawa Barat,Daging ayam kampung,2021,0.005,184.13
Garut,Jawa Barat,Daging ayam kampung,2021,0.009,388.29
Tasikmalaya,Jawa Barat,Daging ayam kampung,2021,0.022,889.2
Ciamis,Jawa Barat,Daging ayam kampung,2021,0.016,654.32
Kuningan,Jawa Barat,Daging ayam kampung,2021,0.009,562.02
Cirebon,Jawa Barat,Daging ayam kampung,2021,0.004,169.61
Majalengka,Jawa Barat,Daging ayam kampung,2021,0.011,658.83
Sumedang,Jawa Barat,Daging ayam kampung,2021,0.013,504.13
Indramayu,Jawa Barat,Daging ayam kampung,2021,0.009,365.83
Subang,Jawa Barat,Daging ayam kampung,2021,0.014,566.22
Purwakarta,Jawa Barat,Daging ayam kampung,2021,0.014,676.8
Karawang,Jawa Barat,Daging ayam kampung,2021,0.008,282.32
Bekasi,Jawa Barat,Daging ayam kampung,2021,0.004,292.59
Bandung Barat,Jawa Barat,Daging ayam kampung,2021,0.008,317.52
Pangandaran,Jawa Barat,Daging ayam kampung,2021,0.055,2182.17
Kota Bogor,Jawa Barat,Daging ayam kampung,2021,0.004,206.75
Kota Sukabumi,Jawa Barat,Daging ayam kampung,2021,0.007,258.87
Kota Bandung,Jawa Barat,Daging ayam kampung,2021,0.007,439.12
Kota Cirebon,Jawa Barat,Daging ayam kampung,2021,0.009,458.34
Kota Bekasi,Jawa Barat,Daging ayam kampung,2021,0.012,894.14
Kota Depok,Jawa Barat,Daging ayam kampung,2021,0.002,184.48
Kota Cimahi,Jawa Barat,Daging ayam kampung,2021,0.006,344.5
Kota Tasikmalaya,Jawa Barat,Daging ayam kampung,2021,0.012,589.81
Kota Banjar,Jawa Barat,Daging ayam kampung,2021,0.014,624.39
Cilacap,Jawa Tengah,Daging ayam kampung,2021,0.026,1159.5
Banyumas,Jawa Tengah,Daging ayam kampung,2021,0.024,1138.18
Purbalingga,Jawa Tengah,Daging ayam kampung,2021,0.008,415.09
Banjarnegara,Jawa Tengah,Daging ayam kampung,2021,0.009,470.6
Kebumen,Jawa Tengah,Daging ayam kampung,2021,0.021,1054.5
Purworejo,Jawa Tengah,Daging ayam kampung,2021,0.017,764.51
Wonosobo,Jawa Tengah,Daging ayam kampung,2021,0.011,492.62
Magelang,Jawa Tengah,Daging ayam kampung,2021,0.016,796.62
Boyolali,Jawa Tengah,Daging ayam kampung,2021,0.009,342.59
Klaten,Jawa Tengah,Daging ayam kampung,2021,0.008,344.33
Sukoharjo,Jawa Tengah,Daging ayam kampung,2021,0.008,355.12
Wonogiri,Jawa Tengah,Daging ayam kampung,2021,0.025,1009.31
Karanganyar,Jawa Tengah,Daging ayam kampung,2021,0.016,663.59
Sragen,Jawa Tengah,Daging ayam kampung,2021,0.031,1344.44
Grobogan,Jawa Tengah,Daging ayam kampung,2021,0.017,677.33
Blora,Jawa Tengah,Daging ayam kampung,2021,0.038,1821.42
Rembang,Jawa Tengah,Daging ayam kampung,2021,0.013,621.31
Pati,Jawa Tengah,Daging ayam kampung,2021,0.012,498.97
Kudus,Jawa Tengah,Daging ayam kampung,2021,0.006,358.31
Jepara,Jawa Tengah,Daging ayam kampung,2021,0.011,518.87
Demak,Jawa Tengah,Daging ayam kampung,2021,0.007,441.85
Semarang,Jawa Tengah,Daging ayam kampung,2021,0.014,558.32
Temanggung,Jawa Tengah,Daging ayam kampung,2021,0.016,657.49
Kendal,Jawa Tengah,Daging ayam kampung,2021,0.01,501.54
Batang,Jawa Tengah,Daging ayam kampung,2021,0.011,636.63
Pekalongan,Jawa Tengah,Daging ayam kampung,2021,0.012,554.66
Pemalang,Jawa Tengah,Daging ayam kampung,2021,0.005,235
Tegal,Jawa Tengah,Daging ayam kampung,2021,0.006,405.72
Brebes,Jawa Tengah,Daging ayam kampung,2021,0.011,502.5
Kota Magelang,Jawa Tengah,Daging ayam kampung,2021,0.007,689.55
Kota Surakarta,Jawa Tengah,Daging ayam kampung,2021,0.005,338.44
Kota Salatiga,Jawa Tengah,Daging ayam kampung,2021,0.013,724.85
Kota Semarang,Jawa Tengah,Daging ayam kampung,2021,0.008,605.17
Kota Pekalongan,Jawa Tengah,Daging ayam kampung,2021,0.009,644.23
Kota Tegal,Jawa Tengah,Daging ayam kampung,2021,0.005,271.75
Kulon Progo,Daerah Istimewa Yogyakarta,Daging ayam kampung,2021,0.019,1180.7
Bantul,Daerah Istimewa Yogyakarta,Daging ayam kampung,2021,0.015,782.7
Gunung Kidul,Daerah Istimewa Yogyakarta,Daging ayam kampung,2021,0.021,1040.99
Sleman,Daerah Istimewa Yogyakarta,Daging ayam kampung,2021,0.015,834.39
Kota Yogyakarta,Daerah Istimewa Yogyakarta,Daging ayam kampung,2021,0.005,380.2
Pacitan,Jawa Timur,Daging ayam kampung,2021,0.034,1389.66
Ponorogo,Jawa Timur,Daging ayam kampung,2021,0.032,1337.33
Trenggalek,Jawa Timur,Daging ayam kampung,2021,0.025,814.65
Tulungagung,Jawa Timur,Daging ayam kampung,2021,0.01,395.21
Blitar,Jawa Timur,Daging ayam kampung,2021,0.01,382.97
Kediri,Jawa Timur,Daging ayam kampung,2021,0.014,562.73
Malang,Jawa Timur,Daging ayam kampung,2021,0.01,474.9
Lumajang,Jawa Timur,Daging ayam kampung,2021,0.024,1216.15
Jember,Jawa Timur,Daging ayam kampung,2021,0.017,760.25
Banyuwangi,Jawa Timur,Daging ayam kampung,2021,0.011,638.41
Bondowoso,Jawa Timur,Daging ayam kampung,2021,0.006,280.7
Situbondo,Jawa Timur,Daging ayam kampung,2021,0.008,364.43
Probolinggo,Jawa Timur,Daging ayam kampung,2021,0.021,779.68
Pasuruan,Jawa Timur,Daging ayam kampung,2021,0.013,587.71
Sidoarjo,Jawa Timur,Daging ayam kampung,2021,0.019,859.05
Mojokerto,Jawa Timur,Daging ayam kampung,2021,0.017,742.83
Jombang,Jawa Timur,Daging ayam kampung,2021,0.011,445.74
Nganjuk,Jawa Timur,Daging ayam kampung,2021,0.013,577.71
Madiun,Jawa Timur,Daging ayam kampung,2021,0.021,735.07
Magetan,Jawa Timur,Daging ayam kampung,2021,0.013,801.42
Ngawi,Jawa Timur,Daging ayam kampung,2021,0.035,1094.27
Bojonegoro,Jawa Timur,Daging ayam kampung,2021,0.023,1130.2
Tuban,Jawa Timur,Daging ayam kampung,2021,0.017,873.09
Lamongan,Jawa Timur,Daging ayam kampung,2021,0.006,229.33
Gresik,Jawa Timur,Daging ayam kampung,2021,0.008,384.51
Bangkalan,Jawa Timur,Daging ayam kampung,2021,0.004,156.14
Sampang,Jawa Timur,Daging ayam kampung,2021,0.008,547.26
Pamekasan,Jawa Timur,Daging ayam kampung,2021,0.007,301.26
Sumenep,Jawa Timur,Daging ayam kampung,2021,0.013,689.26
Kota Kediri,Jawa Timur,Daging ayam kampung,2021,0.009,466.46
Kota Blitar,Jawa Timur,Daging ayam kampung,2021,0.006,321.74
Kota Malang,Jawa Timur,Daging ayam kampung,2021,0.009,467.59
Kota Probolinggo,Jawa Timur,Daging ayam kampung,2021,0.005,258.64
Kota Pasuruan,Jawa Timur,Daging ayam kampung,2021,0.003,169.52
Kota Mojokerto,Jawa Timur,Daging ayam kampung,2021,0.009,393.56
Kota Madiun,Jawa Timur,Daging ayam kampung,2021,0.018,919.69
Kota Surabaya,Jawa Timur,Daging ayam kampung,2021,0.013,618.1
Kota Batu,Jawa Timur,Daging ayam kampung,2021,0.003,126.7
Pandeglang,Banten,Daging ayam kampung,2021,0.016,516.68
Lebak,Banten,Daging ayam kampung,2021,0.024,974.8
Tangerang,Banten,Daging ayam kampung,2021,0.009,445.69
Serang,Banten,Daging ayam kampung,2021,0.009,340.23
Kota Tangerang,Banten,Daging ayam kampung,2021,0.004,420.67
Kota Cilegon,Banten,Daging ayam kampung,2021,0.011,680.55
Kota Serang,Banten,Daging ayam kampung,2021,0.012,521.21
Kota Tangerang Selatan,Banten,Daging ayam kampung,2021,0.008,532.96
Jembrana,Bali,Daging ayam kampung,2021,0.062,2493.53
Tabanan,Bali,Daging ayam kampung,2021,0.006,282.67
Badung,Bali,Daging ayam kampung,2021,0.006,203.09
Gianyar,Bali,Daging ayam kampung,2021,0.028,1362.85
Klungkung,Bali,Daging ayam kampung,2021,0.027,1043.86
Bangli,Bali,Daging ayam kampung,2021,0.01,368.78
Karangasem,Bali,Daging ayam kampung,2021,0.039,1401.92
Buleleng,Bali,Daging ayam kampung,2021,0.02,1230.11
Kota Denpasar,Bali,Daging ayam kampung,2021,0.002,81.82
Lombok Barat,Nusa Tenggara Barat,Daging ayam kampung,2021,0.036,1594.04
Lombok Tengah,Nusa Tenggara Barat,Daging ayam kampung,2021,0.053,2347.29
Lombok Timur,Nusa Tenggara Barat,Daging ayam kampung,2021,0.044,2001.94
Sumbawa,Nusa Tenggara Barat,Daging ayam kampung,2021,0.035,2048.14
Dompu,Nusa Tenggara Barat,Daging ayam kampung,2021,0.03,1714.32
Bima,Nusa Tenggara Barat,Daging ayam kampung,2021,0.016,814.05
Sumbawa Barat,Nusa Tenggara Barat,Daging ayam kampung,2021,0.044,2423.05
Lombok Utara,Nusa Tenggara Barat,Daging ayam kampung,2021,0.078,3328.18
Kota Mataram,Nusa Tenggara Barat,Daging ayam kampung,2021,0.03,1794.52
Kota Bima,Nusa Tenggara Barat,Daging ayam kampung,2021,0.035,2423.04
Sumba Barat,Nusa Tenggara Timur,Daging ayam kampung,2021,0.05,4013.97
Sumba Timur,Nusa Tenggara Timur,Daging ayam kampung,2021,0.052,3548.2
Kupang,Nusa Tenggara Timur,Daging ayam kampung,2021,0.045,1463.1
Timor Tengah Selatan,Nusa Tenggara Timur,Daging ayam kampung,2021,0.076,5080.7
Timor Tengah Utara,Nusa Tenggara Timur,Daging ayam kampung,2021,0.037,3613.67
Belu,Nusa Tenggara Timur,Daging ayam kampung,2021,0.013,1149.2
Alor,Nusa Tenggara Timur,Daging ayam kampung,2021,0.016,1148.63
Lembata,Nusa Tenggara Timur,Daging ayam kampung,2021,0.057,1817.17
Flores Timur,Nusa Tenggara Timur,Daging ayam kampung,2021,0.02,922.9
Sikka,Nusa Tenggara Timur,Daging ayam kampung,2021,0.037,1778.51
Ende,Nusa Tenggara Timur,Daging ayam kampung,2021,0.013,1074.84
Ngada,Nusa Tenggara Timur,Daging ayam kampung,2021,0.051,3765.77
Manggarai,Nusa Tenggara Timur,Daging ayam kampung,2021,0.017,1235.54
Rote Ndao,Nusa Tenggara Timur,Daging ayam kampung,2021,0.03,1789.22
Manggarai Barat,Nusa Tenggara Timur,Daging ayam kampung,2021,0.029,1835.44
Sumba Tengah,Nusa Tenggara Timur,Daging ayam kampung,2021,0.067,3951.52
Sumba Barat Daya,Nusa Tenggara Timur,Daging ayam kampung,2021,0.074,4738.6
Nagekeo,Nusa Tenggara Timur,Daging ayam kampung,2021,0.126,3856.95
Manggarai Timur,Nusa Tenggara Timur,Daging ayam kampung,2021,0.031,1943.89
Sabu Raijua,Nusa Tenggara Timur,Daging ayam kampung,2021,0.05,2206.64
Malaka,Nusa Tenggara Timur,Daging ayam kampung,2021,0.034,1765.49
Kota Kupang,Nusa Tenggara Timur,Daging ayam kampung,2021,0.014,837.32
Sambas,Kalimantan Barat,Daging ayam kampung,2021,0.011,426.34
Bengkayang,Kalimantan Barat,Daging ayam kampung,2021,0.025,1183.36
Landak,Kalimantan Barat,Daging ayam kampung,2021,0.021,1231.94
Mempawah,Kalimantan Barat,Daging ayam kampung,2021,0.007,427.62
Sanggau,Kalimantan Barat,Daging ayam kampung,2021,0.023,1091.93
Ketapang,Kalimantan Barat,Daging ayam kampung,2021,0.016,817.47
Sintang,Kalimantan Barat,Daging ayam kampung,2021,0.026,1527.57
Kapuas Hulu,Kalimantan Barat,Daging ayam kampung,2021,0.02,968.09
Sekadau,Kalimantan Barat,Daging ayam kampung,2021,0.021,1030.25
Melawi,Kalimantan Barat,Daging ayam kampung,2021,0.019,1306.89
Kayong Utara,Kalimantan Barat,Daging ayam kampung,2021,0.028,1119.62
Kubu Raya,Kalimantan Barat,Daging ayam kampung,2021,0.013,480.68
Kota Pontianak,Kalimantan Barat,Daging ayam kampung,2021,0.002,111.09
Kota Singkawang,Kalimantan Barat,Daging ayam kampung,2021,0.014,687.15
Kotawaringin Barat,Kalimantan Tengah,Daging ayam kampung,2021,0.028,1496.9
Kotawaringin Timur,Kalimantan Tengah,Daging ayam kampung,2021,0.011,648.97
Kapuas,Kalimantan Tengah,Daging ayam kampung,2021,0.01,464.41
Barito Selatan,Kalimantan Tengah,Daging ayam kampung,2021,0.018,926.92
Barito Utara,Kalimantan Tengah,Daging ayam kampung,2021,0.024,1495.56
Sukamara,Kalimantan Tengah,Daging ayam kampung,2021,0.037,1923.28
Lamandau,Kalimantan Tengah,Daging ayam kampung,2021,0.038,2442.74
Seruyan,Kalimantan Tengah,Daging ayam kampung,2021,0.013,771.73
Katingan,Kalimantan Tengah,Daging ayam kampung,2021,0.023,1356.96
Pulang Pisau,Kalimantan Tengah,Daging ayam kampung,2021,0.022,1017.71
Gunung Mas,Kalimantan Tengah,Daging ayam kampung,2021,0.005,387.63
Barito Timur,Kalimantan Tengah,Daging ayam kampung,2021,0.009,446.56
Murung Raya,Kalimantan Tengah,Daging ayam kampung,2021,0.018,1262.82
Kota Palangka Raya,Kalimantan Tengah,Daging ayam kampung,2021,0.016,996.12
Tanah Laut,Kalimantan Selatan,Daging ayam kampung,2021,0.008,350.72
Kota Baru,Kalimantan Selatan,Daging ayam kampung,2021,0.007,462.98
Banjar,Kalimantan Selatan,Daging ayam kampung,2021,0.007,302.71
Barito Kuala,Kalimantan Selatan,Daging ayam kampung,2021,0.007,308.98
Tapin,Kalimantan Selatan,Daging ayam kampung,2021,0.011,481.75
Hulu Sungai Selatan,Kalimantan Selatan,Daging ayam kampung,2021,0.005,189.75
Hulu Sungai Tengah,Kalimantan Selatan,Daging ayam kampung,2021,0.007,302.81
Hulu Sungai Utara,Kalimantan Selatan,Daging ayam kampung,2021,0.008,322.14
