Kabupaten_Kota,Provinsi,Jenis_Daging,Tahun,Konsumsi_per_Minggu_dalam_Kg,Pengeluaran_per_Minggu_dalam_IDR,Kategori_Konsumsi,Kategori_Pengeluaran
Belitung Timur,Bangka Belitung,Daging ayam kampung,2022,0.01,446.9,Medium,Low
Kota Pangkal Pinang,Bangka Belitung,Daging ayam kampung,2022,0.013,756.36,Medium,Medium
Karimun,Kepulauan Riau,Daging ayam kampung,2022,0.003,159.64,Low,Low
Bintan,Kepulauan Riau,Daging ayam kampung,2022,0.012,473.21,Medium,Low
Natuna,Kepulauan Riau,Daging ayam kampung,2022,0.007,301.21,Low,Low
Lingga,Kepulauan Riau,Daging ayam kampung,2022,0.022,1168.2,Medium,Medium
Kepulauan Anambas,Kepulauan Riau,Daging ayam kampung,2022,0.005,330.44,Low,Low
Kota Batam,Kepulauan Riau,Daging ayam kampung,2022,0.006,426.39,Low,Low
Kota Tanjung Pinang,Kepulauan Riau,Daging ayam kampung,2022,0.007,326.58,Low,Low
Kep. Seribu,DKI Jakarta,Daging ayam kampung,2022,0.008,511.18,Low,Low
Kota Jakarta Selatan,DKI Jakarta,Daging ayam kampung,2022,0.012,884.46,Medium,Medium
Kota Jakarta Timur,DKI Jakarta,Daging ayam kampung,2022,0.007,494.89,Low,Low
Kota Jakarta Pusat,DKI Jakarta,Daging ayam kampung,2022,0.003,126.25,Low,Low
Kota Jakarta Barat,DKI Jakarta,Daging ayam kampung,2022,0.012,867.04,Medium,Medium
Kota Jakarta Utara,DKI Jakarta,Daging ayam kampung,2022,0.006,344.11,Low,Low
Bogor,Jawa Barat,Daging ayam kampung,2022,0.006,356.42,Low,Low
Sukabumi,Jawa Barat,Daging ayam kampung,2022,0.019,632.45,Medium,Medium
Cianjur,Jawa Barat,Daging ayam kampung,2022,0.015,570.53,Medium,Low
Bandung,Jawa Barat,Daging ayam kampung,2022,0.003,93.94,Low,Low
Garut,Jawa Barat,Daging ayam kampung,2022,0.011,491.77,Medium,Low
Tasikmalaya,Jawa Barat,Daging ayam kampung,2022,0.029,1177.15,Medium,Medium
Ciamis,Jawa Barat,Daging ayam kampung,2022,0.015,774.45,Medium,Medium
Kuningan,Jawa Barat,Daging ayam kampung,2022,0.003,158.36,Low,Low
Cirebon,Jawa Barat,Daging ayam kampung,2022,0.005,188.54,Low,Low
Majalengka,Jawa Barat,Daging ayam kampung,2022,0.003,240,Low,Low
Sumedang,Jawa Barat,Daging ayam kampung,2022,0.006,254.24,Low,Low
Indramayu,Jawa Barat,Daging ayam kampung,2022,0.008,310.04,Low,Low
Subang,Jawa Barat,Daging ayam kampung,2022,0.009,338.01,Medium,Low
Purwakarta,Jawa Barat,Daging ayam kampung,2022,0.01,509.93,Medium,Low
Karawang,Jawa Barat,Daging ayam kampung,2022,0.005,162.01,Low,Low
Bekasi,Jawa Barat,Daging ayam kampung,2022,0.003,241.31,Low,Low
Bandung Barat,Jawa Barat,Daging ayam kampung,2022,0.007,267.92,Low,Low
Pangandaran,Jawa Barat,Daging ayam kampung,2022,0.051,2228.32,High,High
Kota Bogor,Jawa Barat,Daging ayam kampung,2022,0.002,122.03,Low,Low
Kota Sukabumi,Jawa Barat,Daging ayam kampung,2022,0.004,180.1,Low,Low
Kota Bandung,Jawa Barat,Daging ayam kampung,2022,0.005,326.31,Low,Low
Kota Cirebon,Jawa Barat,Daging ayam kampung,2022,0.008,324.13,Low,Low
Kota Bekasi,Jawa Barat,Daging ayam kampung,2022,0.018,1424.02,Medium,Medium
Kota Depok,Jawa Barat,Daging ayam kampung,2022,0.004,365.08,Low,Low
Kota Cimahi,Jawa Barat,Daging ayam kampung,2022,0.006,322.87,Low,Low
Kota Tasikmalaya,Jawa Barat,Daging ayam kampung,2022,0.007,308.36,Low,Low
Kota Banjar,Jawa Barat,Daging ayam kampung,2022,0.009,333.28,Medium,Low
Cilacap,Jawa Tengah,Daging ayam kampung,2022,0.027,1075.79,Medium,Medium
Banyumas,Jawa Tengah,Daging ayam kampung,2022,0.021,874.32,Medium,Medium
Purbalingga,Jawa Tengah,Daging ayam kampung,2022,0.01,471.56,Medium,Low
Banjarnegara,Jawa Tengah,Daging ayam kampung,2022,0.008,344.53,Low,Low
Kebumen,Jawa Tengah,Daging ayam kampung,2022,0.015,802.89,Medium,Medium
Purworejo,Jawa Tengah,Daging ayam kampung,2022,0.021,937.88,Medium,Medium
Wonosobo,Jawa Tengah,Daging ayam kampung,2022,0.01,336.64,Medium,Low
Magelang,Jawa Tengah,Daging ayam kampung,2022,0.018,925.59,Medium,Medium
Boyolali,Jawa Tengah,Daging ayam kampung,2022,0.008,319.05,Low,Low
Klaten,Jawa Tengah,Daging ayam kampung,2022,0.008,368.1,Low,Low
Sukoharjo,Jawa Tengah,Daging ayam kampung,2022,0.006,311.83,Low,Low
Wonogiri,Jawa Tengah,Daging ayam kampung,2022,0.032,1377.1,Medium,Medium
Karanganyar,Jawa Tengah,Daging ayam kampung,2022,0.019,898.4,Medium,Medium
Sragen,Jawa Tengah,Daging ayam kampung,2022,0.027,1112.96,Medium,Medium
Grobogan,Jawa Tengah,Daging ayam kampung,2022,0.017,657.01,Medium,Medium
Blora,Jawa Tengah,Daging ayam kampung,2022,0.029,1383.74,Medium,Medium
Rembang,Jawa Tengah,Daging ayam kampung,2022,0.015,647.27,Medium,Medium
Pati,Jawa Tengah,Daging ayam kampung,2022,0.007,327.86,Low,Low
Kudus,Jawa Tengah,Daging ayam kampung,2022,0.009,637.43,Medium,Medium
Jepara,Jawa Tengah,Daging ayam kampung,2022,0.007,335.91,Low,Low
Demak,Jawa Tengah,Daging ayam kampung,2022,0.007,405.19,Low,Low
Semarang,Jawa Tengah,Daging ayam kampung,2022,0.022,1120.31,Medium,Medium
Temanggung,Jawa Tengah,Daging ayam kampung,2022,0.045,2432.79,High,High
Kendal,Jawa Tengah,Daging ayam kampung,2022,0.006,319.44,Low,Low
Batang,Jawa Tengah,Daging ayam kampung,2022,0.009,446.98,Medium,Low
Pekalongan,Jawa Tengah,Daging ayam kampung,2022,0.007,396.14,Low,Low
Pemalang,Jawa Tengah,Daging ayam kampung,2022,0.012,554.81,Medium,Low
Tegal,Jawa Tengah,Daging ayam kampung,2022,0.005,363.14,Low,Low
Brebes,Jawa Tengah,Daging ayam kampung,2022,0.004,185.61,Low,Low
Kota Magelang,Jawa Tengah,Daging ayam kampung,2022,0.012,1058.19,Medium,Medium
Kota Surakarta,Jawa Tengah,Daging ayam kampung,2022,0.007,557.89,Low,Low
Kota Salatiga,Jawa Tengah,Daging ayam kampung,2022,0.016,1075.77,Medium,Medium
Kota Semarang,Jawa Tengah,Daging ayam kampung,2022,0.008,645.68,Low,Medium
Kota Pekalongan,Jawa Tengah,Daging ayam kampung,2022,0.006,400.71,Low,Low
Kota Tegal,Jawa Tengah,Daging ayam kampung,2022,0.001,46.08,Low,Low
Kulon Progo,Daerah Istimewa Yogyakarta,Daging ayam kampung,2022,0.017,1108.99,Medium,Medium
Bantul,Daerah Istimewa Yogyakarta,Daging ayam kampung,2022,0.014,822.28,Medium,Medium
Gunung Kidul,Daerah Istimewa Yogyakarta,Daging ayam kampung,2022,0.012,655.37,Medium,Medium
Sleman,Daerah Istimewa Yogyakarta,Daging ayam kampung,2022,0.02,1011.59,Medium,Medium
Kota Yogyakarta,Daerah Istimewa Yogyakarta,Daging ayam kampung,2022,0.007,597.56,Low,Low
Pacitan,Jawa Timur,Daging ayam kampung,2022,0.023,909.15,Medium,Medium
Ponorogo,Jawa Timur,Daging ayam kampung,2022,0.022,944.5,Medium,Medium
Trenggalek,Jawa Timur,Daging ayam kampung,2022,0.019,687.25,Medium,Medium
Tulungagung,Jawa Timur,Daging ayam kampung,2022,0.039,1931.6,High,High
Blitar,Jawa Timur,Daging ayam kampung,2022,0.007,286.87,Low,Low
Kediri,Jawa Timur,Daging ayam kampung,2022,0.007,373.37,Low,Low
Malang,Jawa Timur,Daging ayam kampung,2022,0.01,491.3,Medium,Low
Lumajang,Jawa Timur,Daging ayam kampung,2022,0.032,1507.62,Medium,Medium
Jember,Jawa Timur,Daging ayam kampung,2022,0.013,586.48,Medium,Low
Banyuwangi,Jawa Timur,Daging ayam kampung,2022,0.009,527.58,Medium,Low
Bondowoso,Jawa Timur,Daging ayam kampung,2022,0.004,218.63,Low,Low
Situbondo,Jawa Timur,Daging ayam kampung,2022,0.009,402.56,Medium,Low
Probolinggo,Jawa Timur,Daging ayam kampung,2022,0.006,307.61,Low,Low
Pasuruan,Jawa Timur,Daging ayam kampung,2022,0.004,185.74,Low,Low
Sidoarjo,Jawa Timur,Daging ayam kampung,2022,0.01,456.65,Medium,Low
Mojokerto,Jawa Timur,Daging ayam kampung,2022,0.016,775.93,Medium,Medium
Jombang,Jawa Timur,Daging ayam kampung,2022,0.016,712.47,Medium,Medium
Nganjuk,Jawa Timur,Daging ayam kampung,2022,0.011,499.03,Medium,Low
Madiun,Jawa Timur,Daging ayam kampung,2022,0.017,663.01,Medium,Medium
Magetan,Jawa Timur,Daging ayam kampung,2022,0.008,402.29,Low,Low
Ngawi,Jawa Timur,Daging ayam kampung,2022,0.02,729.12,Medium,Medium
Bojonegoro,Jawa Timur,Daging ayam kampung,2022,0.015,796.78,Medium,Medium
Tuban,Jawa Timur,Daging ayam kampung,2022,0.02,1144.34,Medium,Medium
Lamongan,Jawa Timur,Daging ayam kampung,2022,0.009,389.1,Medium,Low
Gresik,Jawa Timur,Daging ayam kampung,2022,0.011,502.28,Medium,Low
Bangkalan,Jawa Timur,Daging ayam kampung,2022,0.01,374.38,Medium,Low
Sampang,Jawa Timur,Daging ayam kampung,2022,0.016,777.52,Medium,Medium
Pamekasan,Jawa Timur,Daging ayam kampung,2022,0.007,314.18,Low,Low
Sumenep,Jawa Timur,Daging ayam kampung,2022,0.034,2840.93,Medium,High
Kota Kediri,Jawa Timur,Daging ayam kampung,2022,0.004,216.27,Low,Low
Kota Blitar,Jawa Timur,Daging ayam kampung,2022,0.005,234.2,Low,Low
Kota Malang,Jawa Timur,Daging ayam kampung,2022,0.013,843.48,Medium,Medium
Kota Probolinggo,Jawa Timur,Daging ayam kampung,2022,0.002,126.57,Low,Low
Kota Pasuruan,Jawa Timur,Daging ayam kampung,2022,0.002,152.41,Low,Low
Kota Mojokerto,Jawa Timur,Daging ayam kampung,2022,0.009,455.81,Medium,Low
Kota Madiun,Jawa Timur,Daging ayam kampung,2022,0.016,823.5,Medium,Medium
Kota Surabaya,Jawa Timur,Daging ayam kampung,2022,0.01,453.12,Medium,Low
Kota Batu,Jawa Timur,Daging ayam kampung,2022,0.004,165.58,Low,Low
Pandeglang,Banten,Daging ayam kampung,2022,0.025,885.07,Medium,Medium
Lebak,Banten,Daging ayam kampung,2022,0.042,1818.24,High,Medium
Tangerang,Banten,Daging ayam kampung,2022,0.008,406.16,Low,Low
Serang,Banten,Daging ayam kampung,2022,0.013,640.43,Medium,Medium
Kota Tangerang,Banten,Daging ayam kampung,2022,0.015,825,Medium,Medium
Kota Cilegon,Banten,Daging ayam kampung,2022,0.011,642.94,Medium,Medium
Kota Serang,Banten,Daging ayam kampung,2022,0.007,376.61,Low,Low
Kota Tangerang Selatan,Banten,Daging ayam kampung,2022,0.01,630.63,Medium,Medium
Jembrana,Bali,Daging ayam kampung,2022,0.016,608.52,Medium,Low
Tabanan,Bali,Daging ayam kampung,2022,0.008,347.52,Low,Low
Badung,Bali,Daging ayam kampung,2022,0.004,207.16,Low,Low
Gianyar,Bali,Daging ayam kampung,2022,0.016,731,Medium,Medium
Klungkung,Bali,Daging ayam kampung,2022,0.016,650.25,Medium,Medium
Bangli,Bali,Daging ayam kampung,2022,0.014,541.19,Medium,Low
Karangasem,Bali,Daging ayam kampung,2022,0.027,862.12,Medium,Medium
Buleleng,Bali,Daging ayam kampung,2022,0.012,720.49,Medium,Medium
Kota Denpasar,Bali,Daging ayam kampung,2022,0.001,77.2,Low,Low
Lombok Barat,Nusa Tenggara Barat,Daging ayam kampung,2022,0.019,1043.82,Medium,Medium
Lombok Tengah,Nusa Tenggara Barat,Daging ayam kampung,2022,0.032,1467.03,Medium,Medium
Lombok Timur,Nusa Tenggara Barat,Daging ayam kampung,2022,0.044,2263.88,High,High
Sumbawa,Nusa Tenggara Barat,Daging ayam kampung,2022,0.038,2647.11,High,High
Dompu,Nusa Tenggara Barat,Daging ayam kampung,2022,0.028,1664.04,Medium,Medium
Bima,Nusa Tenggara Barat,Daging ayam kampung,2022,0.014,777.21,Medium,Medium
Sumbawa Barat,Nusa Tenggara Barat,Daging ayam kampung,2022,0.029,1601.51,Medium,Medium
Lombok Utara,Nusa Tenggara Barat,Daging ayam kampung,2022,0.039,2149.42,High,High
Kota Mataram,Nusa Tenggara Barat,Daging ayam kampung,2022,0.018,1121.78,Medium,Medium
Kota Bima,Nusa Tenggara Barat,Daging ayam kampung,2022,0.02,1562.17,Medium,Medium
Sumba Barat,Nusa Tenggara Timur,Daging ayam kampung,2022,0.033,2530.9,Medium,High
Sumba Timur,Nusa Tenggara Timur,Daging ayam kampung,2022,0.065,4650.04,High,High
Kupang,Nusa Tenggara Timur,Daging ayam kampung,2022,0.056,2419.55,High,High
Timor Tengah Selatan,Nusa Tenggara Timur,Daging ayam kampung,2022,0.094,6993.51,High,High
Timor Tengah Utara,Nusa Tenggara Timur,Daging ayam kampung,2022,0.031,2083.94,Medium,High
Belu,Nusa Tenggara Timur,Daging ayam kampung,2022,0.023,2034.88,Medium,High
Alor,Nusa Tenggara Timur,Daging ayam kampung,2022,0.023,1791.01,Medium,Medium
Lembata,Nusa Tenggara Timur,Daging ayam kampung,2022,0.013,441.38,Medium,Low
Flores Timur,Nusa Tenggara Timur,Daging ayam kampung,2022,0.018,1220.7,Medium,Medium
Sikka,Nusa Tenggara Timur,Daging ayam kampung,2022,0.017,1124.66,Medium,Medium
Ende,Nusa Tenggara Timur,Daging ayam kampung,2022,0.014,1257.99,Medium,Medium
Ngada,Nusa Tenggara Timur,Daging ayam kampung,2022,0.041,3440.7,High,High
Manggarai,Nusa Tenggara Timur,Daging ayam kampung,2022,0.02,1503.47,Medium,Medium
Rote Ndao,Nusa Tenggara Timur,Daging ayam kampung,2022,0.011,664.75,Medium,Medium
Manggarai Barat,Nusa Tenggara Timur,Daging ayam kampung,2022,0.025,1618.98,Medium,Medium
Sumba Tengah,Nusa Tenggara Timur,Daging ayam kampung,2022,0.042,2625.36,High,High
Sumba Barat Daya,Nusa Tenggara Timur,Daging ayam kampung,2022,0.051,3630.67,High,High
Nagekeo,Nusa Tenggara Timur,Daging ayam kampung,2022,0.083,2779.35,High,High
Manggarai Timur,Nusa Tenggara Timur,Daging ayam kampung,2022,0.011,739.25,Medium,Medium
Sabu Raijua,Nusa Tenggara Timur,Daging ayam kampung,2022,0.096,4890.05,High,High
Malaka,Nusa Tenggara Timur,Daging ayam kampung,2022,0.039,2151,High,High
Kota Kupang,Nusa Tenggara Timur,Daging ayam kampung,2022,0.014,1015.72,Medium,Medium
Sambas,Kalimantan Barat,Daging ayam kampung,2022,0.008,332.75,Low,Low
Bengkayang,Kalimantan Barat,Daging ayam kampung,2022,0.04,2064.58,High,High
Landak,Kalimantan Barat,Daging ayam kampung,2022,0.035,2156.41,Medium,High
Mempawah,Kalimantan Barat,Daging ayam kampung,2022,0.007,438.63,Low,Low
Sanggau,Kalimantan Barat,Daging ayam kampung,2022,0.022,1142.19,Medium,Medium
Ketapang,Kalimantan Barat,Daging ayam kampung,2022,0.023,1280.22,Medium,Medium
Sintang,Kalimantan Barat,Daging ayam kampung,2022,0.032,1893.97,Medium,High
Kapuas Hulu,Kalimantan Barat,Daging ayam kampung,2022,0.033,1504.77,Medium,Medium
Sekadau,Kalimantan Barat,Daging ayam kampung,2022,0.038,1957.92,High,High
Melawi,Kalimantan Barat,Daging ayam kampung,2022,0.008,563.47,Low,Low
Kayong Utara,Kalimantan Barat,Daging ayam kampung,2022,0.027,1197.14,Medium,Medium
Kubu Raya,Kalimantan Barat,Daging ayam kampung,2022,0.01,333.41,Medium,Low
Kota Pontianak,Kalimantan Barat,Daging ayam kampung,2022,0.008,402.31,Low,Low
Kota Singkawang,Kalimantan Barat,Daging ayam kampung,2022,0.016,771.79,Medium,Medium
Kotawaringin Barat,Kalimantan Tengah,Daging ayam kampung,2022,0.023,1406.4,Medium,Medium
Kotawaringin Timur,Kalimantan Tengah,Daging ayam kampung,2022,0.016,1103.4,Medium,Medium
Kapuas,Kalimantan Tengah,Daging ayam kampung,2022,0.02,1148.98,Medium,Medium
Barito Selatan,Kalimantan Tengah,Daging ayam kampung,2022,0.017,880.57,Medium,Medium
Barito Utara,Kalimantan Tengah,Daging ayam kampung,2022,0.03,1831.83,Medium,Medium
Sukamara,Kalimantan Tengah,Daging ayam kampung,2022,0.039,2267.91,High,High
Lamandau,Kalimantan Tengah,Daging ayam kampung,2022,0.052,3982.08,High,High
Seruyan,Kalimantan Tengah,Daging ayam kampung,2022,0.023,1354.48,Medium,Medium
Katingan,Kalimantan Tengah,Daging ayam kampung,2022,0.019,1142.66,Medium,Medium
Pulang Pisau,Kalimantan Tengah,Daging ayam kampung,2022,0.026,1111.22,Medium,Medium
Gunung Mas,Kalimantan Tengah,Daging ayam kampung,2022,0.018,1505.29,Medium,Medium
Barito Timur,Kalimantan Tengah,Daging ayam kampung,2022,0.025,1354.82,Medium,Medium
Murung Raya,Kalimantan Tengah,Daging ayam kampung,2022,0.036,2436.23,High,High
Kota Palangka Raya,Kalimantan Tengah,Daging ayam kampung,2022,0.017,1000.02,Medium,Medium
Tanah Laut,Kalimantan Selatan,Daging ayam kampung,2022,0.016,616.86,Medium,Medium
Kota Baru,Kalimantan Selatan,Daging ayam kampung,2022,0.012,645.92,Medium,Medium
Banjar,Kalimantan Selatan,Daging ayam kampung,2022,0.01,452.67,Medium,Low
Barito Kuala,Kalimantan Selatan,Daging ayam kampung,2022,0.006,290.54,Low,Low
Tapin,Kalimantan Selatan,Daging ayam kampung,2022,0.01,449.29,Medium,Low
Hulu Sungai Selatan,Kalimantan Selatan,Daging ayam kampung,2022,0.005,259.08,Low,Low
Hulu Sungai Tengah,Kalimantan Selatan,Daging ayam kampung,2022,0.003,118.45,Low,Low
Hulu Sungai Utara,Kalimantan Selatan,Daging ayam kampung,2022,0.007,289.74,Low,Low
Tabalong,Kalimantan Selatan,Daging ayam kampung,2022,0.023,967.43,Medium,Medium
Tanah Bumbu,Kalimantan Selatan,Daging ayam kampung,2022,0.021,910.15,Medium,Medium
Balangan,Kalimantan Selatan,Daging ayam kampung,2022,0.006,251.03,Low,Low
Kota Banjarmasin,Kalimantan Selatan,Daging ayam kampung,2022,0.003,260.93,Low,Low
Kota Banjar Baru,Kalimantan Selatan,Daging ayam kampung,2022,0.007,374.31,Low,Low
Paser,Kalimantan Timur,Daging ayam kampung,2022,0.024,1169.35,Medium,Medium
Kutai Barat,Kalimantan Timur,Daging ayam kampung,2022,0.021,1207.02,Medium,Medium
Kutai Kartanegara,Kalimantan Timur,Daging ayam kampung,2022,0.011,567.95,Medium,Low
Kutai Timur,Kalimantan Timur,Daging ayam kampung,2022,0.016,1036.08,Medium,Medium
Berau,Kalimantan Timur,Daging ayam kampung,2022,0.018,1077.76,Medium,Medium
Penajam Paser Utara,Kalimantan Timur,Daging ayam kampung,2022,0.008,373.42,Low,Low
Mahakam Ulu,Kalimantan Timur,Daging ayam kampung,2022,0.035,2655.77,Medium,High
Kota Balikpapan,Kalimantan Timur,Daging ayam kampung,2022,0.008,727.46,Low,Medium
Kota Samarinda,Kalimantan Timur,Daging ayam kampung,2022,0.005,319.68,Low,Low
Kota Bontang,Kalimantan Timur,Daging ayam kampung,2022,0.004,220.98,Low,Low
Malinau,Kalimantan Utara,Daging ayam kampung,2022,0.024,1650.89,Medium,Medium
Bulungan,Kalimantan Utara,Daging ayam kampung,2022,0.012,682.64,Medium,Medium
Tana Tidung,Kalimantan Utara,Daging ayam kampung,2022,0.009,534.01,Medium,Low
Nunukan,Kalimantan Utara,Daging ayam kampung,2022,0.048,2293.52,High,High
Kota Tarakan,Kalimantan Utara,Daging ayam kampung,2022,0.002,125.45,Low,Low
Bolaang Mongondow,Sulawesi Utara,Daging ayam kampung,2022,0.03,1567.26,Medium,Medium
Minahasa,Sulawesi Utara,Daging ayam kampung,2022,0.012,589.84,Medium,Low
Kepulauan Sangihe,Sulawesi Utara,Daging ayam kampung,2022,0.013,815.01,Medium,Medium
Kepulauan Talaud,Sulawesi Utara,Daging ayam kampung,2022,0.007,517.27,Low,Low
Minahasa Selatan,Sulawesi Utara,Daging ayam kampung,2022,0.017,843.47,Medium,Medium
Minahasa Utara,Sulawesi Utara,Daging ayam kampung,2022,0.04,1820.55,High,Medium
Bolaang Mongondow Utara,Sulawesi Utara,Daging ayam kampung,2022,0.029,1054.3,Medium,Medium
Siau Tagulandang Biaro,Sulawesi Utara,Daging ayam kampung,2022,0.019,1031.17,Medium,Medium
Minahasa Tenggara,Sulawesi Utara,Daging ayam kampung,2022,0.022,1298.45,Medium,Medium
Bolaang Mongondow Selatan,Sulawesi Utara,Daging ayam kampung,2022,0.023,1092.15,Medium,Medium
Bolaang Mongondow Timur,Sulawesi Utara,Daging ayam kampung,2022,0.047,2028.08,High,High
Kota Manado,Sulawesi Utara,Daging ayam kampung,2022,0.007,377.72,Low,Low
Kota Bitung,Sulawesi Utara,Daging ayam kampung,2022,0.004,219.53,Low,Low
Kota Tomohon,Sulawesi Utara,Daging ayam kampung,2022,0.01,515.83,Medium,Low
Kota Kotamobagu,Sulawesi Utara,Daging ayam kampung,2022,0.025,1196.83,Medium,Medium
Banggai Kepulauan,Sulawesi Tengah,Daging ayam kampung,2022,0.009,674.99,Medium,Medium
Banggai,Sulawesi Tengah,Daging ayam kampung,2022,0.014,860.34,Medium,Medium
Morowali,Sulawesi Tengah,Daging ayam kampung,2022,0.021,1272,Medium,Medium
Poso,Sulawesi Tengah,Daging ayam kampung,2022,0.025,1397.43,Medium,Medium
Donggala,Sulawesi Tengah,Daging ayam kampung,2022,0.015,609.8,Medium,Low
Toli-Toli,Sulawesi Tengah,Daging ayam kampung,2022,0.008,425.39,Low,Low
Buol,Sulawesi Tengah,Daging ayam kampung,2022,0.014,762.28,Medium,Medium
Parigi Moutong,Sulawesi Tengah,Daging ayam kampung,2022,0.028,1197.84,Medium,Medium
Tojo Una-Una,Sulawesi Tengah,Daging ayam kampung,2022,0.017,749.11,Medium,Medium
Sigi,Sulawesi Tengah,Daging ayam kampung,2022,0.014,645.2,Medium,Medium
Banggai Laut,Sulawesi Tengah,Daging ayam kampung,2022,0.012,801.3,Medium,Medium
Morowali Utara,Sulawesi Tengah,Daging ayam kampung,2022,0.038,2451,High,High
Kota Palu,Sulawesi Tengah,Daging ayam kampung,2022,0.013,586.05,Medium,Low
Kepulauan Selayar,Sulawesi Selatan,Daging ayam kampung,2022,0.008,430.99,Low,Low
Bulukumba,Sulawesi Selatan,Daging ayam kampung,2022,0.019,1101.7,Medium,Medium
Bantaeng,Sulawesi Selatan,Daging ayam kampung,2022,0.013,932.47,Medium,Medium
Jeneponto,Sulawesi Selatan,Daging ayam kampung,2022,0.03,1320.37,Medium,Medium
Takalar,Sulawesi Selatan,Daging ayam kampung,2022,0.02,949.02,Medium,Medium
Gowa,Sulawesi Selatan,Daging ayam kampung,2022,0.008,326.48,Low,Low
Sinjai,Sulawesi Selatan,Daging ayam kampung,2022,0.011,537.59,Medium,Low
Maros,Sulawesi Selatan,Daging ayam kampung,2022,0.007,357.39,Low,Low
Pangkajene dan Kepulauan,Sulawesi Selatan,Daging ayam kampung,2022,0.017,581.21,Medium,Low
Barru,Sulawesi Selatan,Daging ayam kampung,2022,0.028,1054.1,Medium,Medium
Bone,Sulawesi Selatan,Daging ayam kampung,2022,0.016,530.91,Medium,Low
Soppeng,Sulawesi Selatan,Daging ayam kampung,2022,0.012,507.69,Medium,Low
Wajo,Sulawesi Selatan,Daging ayam kampung,2022,0.001,29.73,Low,Low
Sidenreng Rappang,Sulawesi Selatan,Daging ayam kampung,2022,0.008,296.39,Low,Low
Pinrang,Sulawesi Selatan,Daging ayam kampung,2022,0.004,164.4,Low,Low
Enrekang,Sulawesi Selatan,Daging ayam kampung,2022,0.011,619.86,Medium,Medium
Luwu,Sulawesi Selatan,Daging ayam kampung,2022,0.021,770.88,Medium,Medium
Tana Toraja,Sulawesi Selatan,Daging ayam kampung,2022,0.034,1699.78,Medium,Medium
Luwu Utara,Sulawesi Selatan,Daging ayam kampung,2022,0.015,683.42,Medium,Medium
Luwu Timur,Sulawesi Selatan,Daging ayam kampung,2022,0.026,1235.39,Medium,Medium
Toraja Utara,Sulawesi Selatan,Daging ayam kampung,2022,0.028,1626.2,Medium,Medium
Kota Makasar,Sulawesi Selatan,Daging ayam kampung,2022,0.013,620.62,Medium,Medium
Kota Parepare,Sulawesi Selatan,Daging ayam kampung,2022,0.003,181.55,Low,Low
Kota Palopo,Sulawesi Selatan,Daging ayam kampung,2022,0.01,647.84,Medium,Medium
Buton,Sulawesi Tenggara,Daging ayam kampung,2022,0.013,693.66,Medium,Medium
Muna,Sulawesi Tenggara,Daging ayam kampung,2022,0.007,379.03,Low,Low
Konawe,Sulawesi Tenggara,Daging ayam kampung,2022,0.016,737.15,Medium,Medium
Kolaka,Sulawesi Tenggara,Daging ayam kampung,2022,0.013,545.69,Medium,Low
Konawe Selatan,Sulawesi Tenggara,Daging ayam kampung,2022,0.022,1005.06,Medium,Medium
Bombana,Sulawesi Tenggara,Daging ayam kampung,2022,0.012,519.33,Medium,Low
Wakatobi,Sulawesi Tenggara,Daging ayam kampung,2022,0.019,1549.66,Medium,Medium
Kolaka Utara,Sulawesi Tenggara,Daging ayam kampung,2022,0.024,878.97,Medium,Medium
Buton Utara,Sulawesi Tenggara,Daging ayam kampung,2022,0.009,657.39,Medium,Medium
Konawe Utara,Sulawesi Tenggara,Daging ayam kampung,2022,0.014,829.54,Medium,Medium
Kolaka Timur,Sulawesi Tenggara,Daging ayam kampung,2022,0.005,223.99,Low,Low
Konawe Kepulauan,Sulawesi Tenggara,Daging ayam kampung,2022,0.029,1323.87,Medium,Medium
Muna Barat,Sulawesi Tenggara,Daging ayam kampung,2022,0.007,409.31,Low,Low
Buton Tengah,Sulawesi Tenggara,Daging ayam kampung,2022,0.007,618.3,Low,Medium
Buton Selatan,Sulawesi Tenggara,Daging ayam kampung,2022,0.004,243.69,Low,Low
Kota Kendari,Sulawesi Tenggara,Daging ayam kampung,2022,0.009,651.24,Medium,Medium
Kota Baubau,Sulawesi Tenggara,Daging ayam kampung,2022,0.007,620.09,Low,Medium
Boalemo,Gorontalo,Daging ayam kampung,2022,0.045,1580.87,High,Medium
Gorontalo,Gorontalo,Daging ayam kampung,2022,0.022,1069.67,Medium,Medium
Pohuwato,Gorontalo,Daging ayam kampung,2022,0.021,846.5,Medium,Medium
Bone Bolango,Gorontalo,Daging ayam kampung,2022,0.019,837.13,Medium,Medium
Gorontalo Utara,Gorontalo,Daging ayam kampung,2022,0.025,895.66,Medium,Medium
Kota Gorontalo,Gorontalo,Daging ayam kampung,2022,0.017,951.87,Medium,Medium
Majene,Sulawesi Barat,Daging ayam kampung,2022,0.012,370.8,Medium,Low
Polewali Mandar,Sulawesi Barat,Daging ayam kampung,2022,0.007,330.55,Low,Low
Mamasa,Sulawesi Barat,Daging ayam kampung,2022,0.024,1155.73,Medium,Medium
Mamuju,Sulawesi Barat,Daging ayam kampung,2022,0.011,492.39,Medium,Low
Mamuju Utara,Sulawesi Barat,Daging ayam kampung,2022,0.013,603.06,Medium,Low
Mamuju Tengah,Sulawesi Barat,Daging ayam kampung,2022,0.02,946.27,Medium,Medium
